College Name,Location,Rating,Reviews,NIRF Ranking,College URL
IIT Madras (IITM) - Indian Institute of Technology Madras,N/A,4.7/5,119 Reviews,NIRF Ranking: 1,https://www.careers360.com/university/indian-institute-of-technology-madras/mtech-computer-science-and-engineering-course
"IISc Bangalore - Indian Institute of Science, Bangalore",N/A,4.7/5,43 Reviews,NIRF Ranking: 2,https://www.careers360.com/university/indian-institute-of-science-bangalore/mtech-computer-science-and-engineering-course
IIT Bombay - Indian Institute of Technology Bombay,N/A,4.6/5,162 Reviews,NIRF Ranking: 3,https://www.careers360.com/university/indian-institute-of-technology-bombay/mtech-computer-science-and-engineering-course
IIT Delhi - Indian Institute of Technology Delhi,N/A,4.6/5,285 Reviews,NIRF Ranking: 4,https://www.careers360.com/university/indian-institute-of-technology-delhi/msc-chemistry-course
IIT Kanpur - Indian Institute of Technology Kanpur,N/A,4.4/5,161 Reviews,NIRF Ranking: 5,https://www.careers360.com/university/indian-institute-of-technology-kanpur/msc-statistics-course
IIT Kharagpur - Indian Institute of Technology Kharagpur,N/A,4.7/5,326 Reviews,NIRF Ranking: 6,https://www.careers360.com/university/indian-institute-of-technology-kharagpur/mtech-metallurgical-and-materials-engineering-course
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,N/A,4.6/5,23 Reviews,NIRF Ranking: 7,https://www.careers360.com/university/all-india-institute-of-medical-sciences-new-delhi/mch-cardio-thoracic-and-vascular-surgery-course
IIT Roorkee - Indian Institute of Technology Roorkee,N/A,4.4/5,410 Reviews,NIRF Ranking: 8,https://www.careers360.com/university/indian-institute-of-technology-roorkee/msc-chemistry-course
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,N/A,4.3/5,187 Reviews,NIRF Ranking: 9,https://www.careers360.com/university/indian-institute-of-technology-guwahati/mtech-computer-science-engineering-course
"JNU Delhi - Jawaharlal Nehru University, New Delhi",N/A,4.5/5,86 Reviews,NIRF Ranking: 10,https://www.careers360.com/university/jawaharlal-nehru-university-new-delhi/mca-course
"BHU Varanasi - Banaras Hindu University, Varanasi",N/A,4.4/5,507 Reviews,NIRF Ranking: 11,https://www.careers360.com/university/banaras-hindu-university-varanasi/msc-mathematics-course
IIT Hyderabad - Indian Institute of Technology Hyderabad,N/A,4.6/5,28 Reviews,NIRF Ranking: 12,https://www.careers360.com/university/indian-institute-of-technology-hyderabad/msc-chemistry-course
"JMI New Delhi - Jamia Millia Islamia, New Delhi",N/A,4.5/5,405 Reviews,NIRF Ranking: 13,https://www.careers360.com/university/jamia-millia-islamia-new-delhi/mca-course
"Manipal Academy of Higher Education (MAHE) - Manipal Academy of Higher Education, Manipal",N/A,4.5/5,31 Reviews,NIRF Ranking: 14,https://www.careers360.com/colleges/manipal-institute-of-virology-manipal/msc-clinical-virology-course
"DU Delhi - University of Delhi, Delhi",N/A,4.2/5,280 Reviews,NIRF Ranking: 15,https://www.careers360.com/university/university-of-delhi-delhi/msc-informatics-course
"AMU Aligarh - Aligarh Muslim University, Aligarh",N/A,4.7/5,417 Reviews,NIRF Ranking: 16,https://www.careers360.com/university/aligarh-muslim-university-aligarh/mca-course
"Jadavpur University, Kolkata",N/A,4.6/5,231 Reviews,NIRF Ranking: 17,https://www.careers360.com/university/jadavpur-university-kolkata/msc-mathematics-course
"VIT Vellore - Vellore Institute of Technology, Vellore",N/A,4.4/5,798 Reviews,NIRF Ranking: 19,https://www.careers360.com/university/vellore-institute-of-technology-vellore/mca-course
"SRM University Chennai - SRM Institute of Science and Technology, Chennai",N/A,4.3/5,737 Reviews,NIRF Ranking: 21,https://www.careers360.com/university/srm-institute-of-science-and-technology-chennai/msc-applied-data-science-course
"BITS Pilani - Birla Institute of Technology and Science, Pilani",N/A,4.5/5,266 Reviews,NIRF Ranking: 23,https://www.careers360.com/university/birla-institute-of-technology-and-science-pilani/mpharma-pharmaceutics-course
